PaperId: 364, Esession: 96, Duration: 30, Position: 1, Start: 30/09/2015 08:08
PaperId: 352, Esession: 96, Duration: 30, Position: 2, Start: 02/10/2015 04:41
PaperId: 66, Esession: 101, Duration: 30, Position: 1, Start: 30/09/2015 04:59
PaperId: 218, Esession: 101, Duration: 30, Position: 2, Start: 30/09/2015 10:54
PaperId: 122, Esession: 101, Duration: 30, Position: 3, Start: 30/09/2015 11:22
PaperId: 350, Esession: 101, Duration: 30, Position: 4, Start: 30/09/2015 12:04
PaperId: 405, Esession: 101, Duration: 30, Position: 5, Start: 30/09/2015 12:24
PaperId: 220, Esession: 101, Duration: 30, Position: 6, Start: 30/09/2015 15:03
PaperId: 418, Esession: 101, Duration: 30, Position: 7, Start: 30/09/2015 16:58
PaperId: 414, Esession: 101, Duration: 30, Position: 8, Start: 02/10/2015 13:49
PaperId: 163, Esession: 86, Duration: 30, Position: 1, Start: 30/09/2015 08:40
PaperId: 140, Esession: 86, Duration: 30, Position: 2, Start: 30/09/2015 09:42
PaperId: 139, Esession: 86, Duration: 15, Position: 3, Start: 30/09/2015 09:52
PaperId: 178, Esession: 86, Duration: 30, Position: 4, Start: 30/09/2015 12:11
PaperId: 58, Esession: 86, Duration: 15, Position: 5, Start: 30/09/2015 12:59
PaperId: 52, Esession: 86, Duration: 30, Position: 6, Start: 30/09/2015 14:56
PaperId: 189, Esession: 86, Duration: 30, Position: 7, Start: 30/09/2015 16:30
PaperId: 105, Esession: 86, Duration: 30, Position: 8, Start: 30/09/2015 17:28
PaperId: 134, Esession: 86, Duration: 30, Position: 9, Start: 02/10/2015 17:30
PaperId: 117, Esession: 86, Duration: 30, Position: 10, Start: 02/10/2015 19:55
PaperId: 464, Esession: 83, Duration: 30, Position: 1, Start: 30/09/2015 11:03
PaperId: 76, Esession: 83, Duration: 30, Position: 2, Start: 30/09/2015 16:38
PaperId: 83, Esession: 83, Duration: 30, Position: 3, Start: 30/09/2015 17:30
PaperId: 331, Esession: 80, Duration: 30, Position: 1, Start: 30/09/2015 00:00
PaperId: 455, Esession: 80, Duration: 30, Position: 2, Start: 30/09/2015 03:22
PaperId: 440, Esession: 80, Duration: 30, Position: 3, Start: 30/09/2015 15:06
PaperId: 327, Esession: 80, Duration: 30, Position: 4, Start: 01/10/2015 00:07
PaperId: 398, Esession: 80, Duration: 30, Position: 5, Start: 02/10/2015 05:40
PaperId: 439, Esession: 80, Duration: 30, Position: 6, Start: 02/10/2015 06:09
PaperId: 27, Esession: 82, Duration: 30, Position: 1, Start: 30/09/2015 11:30
PaperId: 504, Esession: 82, Duration: 30, Position: 2, Start: 02/10/2015 09:01
PaperId: 344, Esession: 88, Duration: 30, Position: 1, Start: 30/09/2015 13:03
PaperId: 341, Esession: 88, Duration: 30, Position: 2, Start: 30/09/2015 21:16
PaperId: 277, Esession: 88, Duration: 30, Position: 3, Start: 02/10/2015 13:00
PaperId: 322, Esession: 88, Duration: 5, Position: 4, Start: 02/10/2015 15:41
PaperId: 202, Esession: 147, Duration: 15, Position: 1, Start: 02/10/2015 13:25
PaperId: 219, Esession: 84, Duration: 30, Position: 1, Start: 30/09/2015 09:20
PaperId: 228, Esession: 84, Duration: 30, Position: 2, Start: 30/09/2015 11:25
PaperId: 17, Esession: 84, Duration: 30, Position: 3, Start: 30/09/2015 13:29
PaperId: 91, Esession: 84, Duration: 30, Position: 4, Start: 30/09/2015 17:20
PaperId: 242, Esession: 84, Duration: 15, Position: 5, Start: 02/10/2015 21:38
PaperId: 270, Esession: 76, Duration: 30, Position: 1, Start: 30/09/2015 09:43
PaperId: 272, Esession: 76, Duration: 30, Position: 2, Start: 30/09/2015 16:30
PaperId: 273, Esession: 76, Duration: 30, Position: 3, Start: 30/09/2015 17:25
PaperId: 253, Esession: 36, Duration: 30, Position: 1, Start: 30/09/2015 00:00
PaperId: 230, Esession: 36, Duration: 30, Position: 2, Start: 30/09/2015 11:49
PaperId: 258, Esession: 36, Duration: 30, Position: 3, Start: 30/09/2015 13:23
PaperId: 229, Esession: 36, Duration: 30, Position: 4, Start: 01/10/2015 04:09
PaperId: 223, Esession: 36, Duration: 30, Position: 5, Start: 02/10/2015 01:43
PaperId: 212, Esession: 36, Duration: 30, Position: 6, Start: 02/10/2015 15:56
PaperId: 324, Esession: 36, Duration: 30, Position: 7, Start: 02/10/2015 19:26
PaperId: 233, Esession: 36, Duration: 30, Position: 8, Start: 02/10/2015 20:39
PaperId: 77, Esession: 73, Duration: 30, Position: 1, Start: 30/09/2015 10:16
PaperId: 78, Esession: 73, Duration: 15, Position: 2, Start: 30/09/2015 11:31
PaperId: 25, Esession: 73, Duration: 30, Position: 3, Start: 30/09/2015 12:46
PaperId: 113, Esession: 73, Duration: 30, Position: 4, Start: 30/09/2015 14:55
PaperId: 180, Esession: 73, Duration: 5, Position: 5, Start: 01/10/2015 11:33
PaperId: 182, Esession: 73, Duration: 5, Position: 6, Start: 02/10/2015 19:49
PaperId: 428, Esession: 155, Duration: 15, Position: 1, Start: 30/09/2015 09:48
PaperId: 426, Esession: 155, Duration: 15, Position: 2, Start: 30/09/2015 10:54
PaperId: 422, Esession: 155, Duration: 15, Position: 3, Start: 30/09/2015 11:57
PaperId: 372, Esession: 155, Duration: 15, Position: 4, Start: 30/09/2015 12:04
PaperId: 434, Esession: 155, Duration: 15, Position: 5, Start: 30/09/2015 13:30
PaperId: 369, Esession: 155, Duration: 15, Position: 6, Start: 30/09/2015 15:18
PaperId: 465, Esession: 155, Duration: 15, Position: 7, Start: 30/09/2015 15:35
PaperId: 430, Esession: 155, Duration: 15, Position: 8, Start: 30/09/2015 17:20
PaperId: 371, Esession: 155, Duration: 15, Position: 9, Start: 02/10/2015 03:52
PaperId: 384, Esession: 155, Duration: 15, Position: 10, Start: 02/10/2015 06:32
PaperId: 509, Esession: 155, Duration: 15, Position: 11, Start: 02/10/2015 07:20
PaperId: 386, Esession: 155, Duration: 15, Position: 12, Start: 02/10/2015 09:44
PaperId: 423, Esession: 155, Duration: 15, Position: 13, Start: 02/10/2015 10:25
PaperId: 424, Esession: 155, Duration: 15, Position: 14, Start: 02/10/2015 21:03
PaperId: 466, Esession: 155, Duration: 15, Position: 15, Start: 02/10/2015 23:45
PaperId: 388, Esession: 125, Duration: 120, Position: 1, Start: 30/09/2015 00:00
PaperId: 469, Esession: 125, Duration: 120, Position: 2, Start: 30/09/2015 08:13
PaperId: 368, Esession: 125, Duration: 120, Position: 3, Start: 30/09/2015 13:54
PaperId: 393, Esession: 125, Duration: 120, Position: 4, Start: 30/09/2015 19:00
PaperId: 427, Esession: 125, Duration: 120, Position: 5, Start: 02/10/2015 04:41
PaperId: 385, Esession: 125, Duration: 120, Position: 6, Start: 02/10/2015 15:23
PaperId: 391, Esession: 156, Duration: 30, Position: 1, Start: 30/09/2015 10:23
